city,latitude,longitude,temperature,humidity,cloudiness,wind speed
nikolskoye,59.7,30.79,27.32,39,few clouds,24.61
tuktoyaktuk,69.45,-133.04,21.2,85,light snow,28.86
nizhniy tsasuchey,50.52,115.13,12.18,69,clear sky,3.38
ancud,-41.87,-73.82,60.8,59,few clouds,6.93
vaini,-21.2,-175.2,80.6,88,broken clouds,10.29
arraial do cabo,-22.97,-42.03,83.71,78,scattered clouds,12.75
mar del plata,-38.0,-57.56,70.61,60,overcast clouds,12.75
khatanga,71.97,102.5,27.48,96,light snow,15.95
zhigansk,66.77,123.37,-7.62,91,overcast clouds,22.66
atuona,-9.8,-139.03,81.66,73,clear sky,11.21
monrovia,6.3,-10.8,83.64,77,overcast clouds,11.68
cape town,-33.93,18.42,67.32,77,scattered clouds,16.11
sao joao da barra,-21.64,-41.05,86.0,66,few clouds,11.41
oranjestad,12.52,-70.03,86.0,62,scattered clouds,14.99
solok,-0.79,100.66,69.6,93,light rain,5.61
lungi,9.22,-12.68,99.48,20,clear sky,2.01
newport,51.59,-3.0,49.37,93,light rain,11.41
hasaki,35.73,140.83,32.04,100,fog,2.24
sur,22.57,59.53,70.68,36,overcast clouds,5.97
haines junction,60.75,-137.51,15.78,68,few clouds,2.68
eenhana,-17.47,16.33,73.92,66,light rain,6.15
saint-philippe,-21.36,55.77,75.56,83,broken clouds,13.87
waingapu,-9.66,120.26,83.1,77,light rain,4.09
ushuaia,-54.8,-68.3,57.2,50,few clouds,9.17
mataura,-46.19,168.86,51.01,86,overcast clouds,1.99
rio pardo,-29.99,-52.38,108.84,18,clear sky,2.28
avarua,-21.21,-159.78,82.4,78,broken clouds,5.82
ornskoldsvik,63.29,18.72,26.6,53,broken clouds,8.05
korla,41.76,86.15,39.45,62,overcast clouds,1.01
lavrentiya,65.58,-171.0,15.96,56,overcast clouds,4.74
albany,42.6,-73.97,42.35,48,scattered clouds,20.8
new norfolk,-42.78,147.06,48.4,81,scattered clouds,5.82
vila velha,-20.33,-40.29,83.77,74,scattered clouds,10.29
lasa,46.62,10.7,35.56,93,scattered clouds,4.36
port elizabeth,-33.92,25.57,66.2,88,few clouds,12.75
tessalit,20.2,1.01,84.72,9,clear sky,6.42
kapaa,22.08,-159.32,73.53,64,few clouds,4.7
hermanus,-34.42,19.23,64.11,88,light rain,10.4
hobart,-42.88,147.33,48.58,81,scattered clouds,5.82
talnakh,69.49,88.4,32.0,95,light shower snow,24.61
hilo,19.73,-155.09,68.49,83,overcast clouds,3.36
upernavik,72.79,-56.15,-8.16,93,overcast clouds,4.59
mecca,21.43,39.83,68.34,47,clear sky,8.81
kahului,20.89,-156.47,75.04,74,scattered clouds,9.17
lagoa,39.05,-27.98,60.24,77,overcast clouds,10.51
bluff,-46.6,168.33,51.01,86,overcast clouds,1.01
barrow,71.29,-156.79,19.4,85,overcast clouds,27.51
bambous virieux,-20.34,57.76,76.6,94,scattered clouds,1.12
krasni okny,47.54,29.46,42.06,54,few clouds,10.51
gander,48.97,-54.59,39.9,60,scattered clouds,14.99
busselton,-33.65,115.33,64.72,98,light rain,13.27
gambela,8.25,34.58,86.7,46,overcast clouds,3.67
aksu,41.12,80.26,43.68,22,clear sky,7.25
mehamn,71.04,27.85,14.34,80,light snow,15.01
georgetown,5.41,100.34,82.47,88,few clouds,2.95
elmira,42.09,-76.81,41.76,39,clear sky,6.93
hovd,48.01,91.64,21.72,43,clear sky,9.01
orange,33.7,-117.77,59.5,59,light rain,8.05
chapais,49.78,-74.85,14.0,72,light snow,17.22
punta arenas,-53.15,-70.92,60.8,51,broken clouds,31.09
